time, Quad.Est.E.Pos, Quad.Est.S.Z
3.789908,0.136639,0.301342
3.794907,0.136661,0.301514
3.799907,0.136701,0.301630
3.804907,0.152291,0.299036
3.809906,0.152439,0.299141
3.814906,0.152692,0.299300
3.819906,0.152861,0.299407
3.824905,0.153123,0.299567
3.829905,0.153259,0.299675
3.834904,0.153533,0.299837
3.839904,0.153720,0.299945
3.844904,0.153993,0.300109
3.849903,0.154167,0.300219
3.854903,0.154457,0.300385
3.859903,0.154643,0.300496
3.864902,0.154909,0.300663
3.869902,0.154969,0.300775
3.874902,0.155189,0.300944
3.879901,0.155452,0.301058
3.884901,0.155700,0.301228
3.889900,0.155679,0.301343
3.894900,0.155866,0.301516
3.899900,0.156101,0.301631
3.904899,0.161227,0.299038
3.909899,0.161508,0.299143
3.914899,0.161919,0.299302
3.919898,0.162192,0.299408
3.924898,0.162573,0.299568
3.929898,0.162817,0.299676
3.934897,0.163182,0.299838
3.939897,0.163423,0.299947
3.944896,0.163774,0.300110
3.949896,0.164037,0.300220
3.954896,0.164375,0.300386
3.959895,0.164695,0.300497
3.964895,0.165060,0.300664
3.969895,0.165236,0.300776
3.974894,0.165563,0.300945
3.979894,0.165843,0.301059
3.984894,0.166149,0.301229
3.989893,0.166333,0.301344
3.994893,0.166587,0.301517
3.999892,0.166777,0.301632
4.004892,0.137351,0.299039
4.009892,0.137324,0.299144
4.014892,0.137039,0.299303
4.019891,0.136802,0.299409
4.024891,0.136502,0.299570
4.029891,0.136288,0.299677
4.034890,0.135935,0.299839
4.039890,0.135689,0.299948
4.044889,0.135282,0.300112
4.049889,0.134964,0.300221
4.054889,0.134525,0.300387
4.059888,0.134211,0.300498
4.064888,0.133731,0.300665
4.069888,0.133448,0.300777
4.074887,0.132983,0.300946
4.079887,0.132657,0.301060
4.084887,0.132189,0.301231
4.089886,0.131722,0.301345
4.094886,0.131186,0.301518
4.099885,0.130819,0.301633
4.104885,0.150131,0.299040
4.109885,0.150382,0.299145
4.114884,0.150810,0.299304
4.119884,0.151100,0.299410
4.124884,0.151542,0.299571
4.129883,0.151827,0.299678
4.134883,0.152286,0.299840
4.139883,0.152605,0.299949
4.144882,0.153078,0.300113
4.149882,0.153354,0.300223
4.154881,0.153812,0.300388
4.159881,0.154148,0.300499
4.164881,0.154627,0.300666
4.169880,0.154977,0.300779
4.174880,0.155467,0.300948
4.179880,0.155818,0.301061
4.184879,0.156324,0.301232
4.189879,0.156563,0.301346
4.194879,0.157090,0.301519
4.199878,0.157503,0.301634
4.204878,0.124419,0.299041
4.209877,0.124881,0.299147
